px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	2.17631e-76	2.38033e-264	3.21992e-57	0.312243	0.58034	0.6	0.6	5.19994	0	6.95321e-310
0.757667	0.645832	7.20568	-1.88541e-17	-1.31031e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	74.9097
1.12935	0.521907	7.22897	-0.374551	-0.0349301	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.686496
1.26577	0.552609	7.15135	-0.15478	-0.00474453	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	2.09454
1.63016	0.542556	7.12648	-0.0768027	0.0454106	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.501278
1.86255	0.549746	6.05375	-0.087661	-0.399797	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	6.81571
2.1723	0.552544	6.0212	-0.0697517	-0.299534	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.572007
2.38622	0.618459	5.60858	-0.00330515	-0.258668	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	6.46361
2.66208	0.628595	5.5932	0.00205897	-0.188621	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0872857
2.92487	0.635417	5.52472	-0.00636809	-0.216452	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.377779
3.16029	0.635934	5.47704	-0.00281736	-0.166314	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.22648
3.44387	0.539985	5.50734	-0.131167	-0.549958	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.35348
3.74844	0.435431	5.57145	-0.236176	-0.770244	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.194
4.02715	0.516879	5.53807	-0.11207	-0.337796	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	3.66421
4.30168	0.514718	5.52705	-0.0998935	-0.268834	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.272624
4.56165	0.552417	5.46607	-0.0609281	-0.160884	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	2.03407
4.75364	0.6618	5.3386	0.0390662	0.061546	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	12.4574
5.00698	0.662061	5.29381	0.0301112	0.034825	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	2.67776
5.30923	0.660112	5.33776	0.0228208	0.0180951	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.32662
5.56618	0.669237	5.33522	0.0273595	0.025609	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.49254
5.86003	0.685383	5.36413	0.0336821	0.0340157	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.401
6.10634	0.613409	5.32554	-0.0206789	-0.0606628	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	4.73853
6.36393	0.725801	5.31102	0.0518809	0.0589929	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.4116
6.61661	0.758539	5.28631	0.0653156	0.0738304	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	1.02259
6.86672	0.756153	5.27374	0.0573859	0.0564869	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.483015
7.11612	0.739914	5.2376	0.0395963	0.0232749	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	4.53933
7.34137	0.824019	5.20369	0.083863	0.0862955	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	3.39917
7.62654	0.837816	5.23768	0.0831474	0.0793411	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	3.19683
7.87808	0.813614	5.22791	0.0617419	0.043255	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.855456
8.13296	0.83179	5.2078	0.0634991	0.0407355	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	3.13752
8.37332	0.848028	5.19051	0.0659136	0.0415072	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.806744
8.634	0.941135	5.20815	0.110055	0.102695	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	5.92536
8.87186	0.999542	5.19159	0.131653	0.126287	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.986616
9.15488	1.04048	5.21657	0.139973	0.128457	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.20378
9.39302	1.07125	5.19911	0.144022	0.1256	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.983763
9.66538	1.14755	5.21935	0.169614	0.152156	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.08177
9.93134	1.27696	5.23582	0.221343	0.213925	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	2.56248
10.183	1.37686	5.22772	0.256625	0.252685	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.43245
10.4108	1.45596	5.20915	0.277326	0.265098	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.33496
10.649	1.55765	5.18971	0.312366	0.304577	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	4.47834
10.8817	1.58134	5.16862	0.299183	0.266293	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	2.15966
11.1432	1.63564	5.17762	0.297992	0.244622	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	1.67294
